des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 EC3,2,2460382.807086798,2024-Mar-13 07:22,0.00587835210289629,0.00586997451109602,0.00588672931894612,7.22478370179097,7.16177072982791,< 00:01,28.61
2024 EL1,9,2460383.048385758,2024-Mar-13 13:10,0.0217911399669732,0.021731660433699,0.0218506182230154,7.88023976880566,7.86470799066926,< 00:01,26.48
2024 EJ4,3,2460383.223566179,2024-Mar-13 17:22,0.000175441570597385,0.00017537291061914,0.000175510225216852,8.68493760631129,6.7121972328449,< 00:01,29.38
2024 FO,2,2460383.742387727,2024-Mar-14 05:49,0.0140981105106896,0.0140333672066929,0.0141628521018185,11.480734307325,11.4642605191331,00:01,25.52
2024 EH3,6,2460384.177609827,2024-Mar-14 16:16,0.0166800940675647,0.016659911569939,0.0167002764129824,10.1451232432054,10.1293655026622,< 00:01,25.51
2024 EK3,4,2460384.635146087,2024-Mar-15 03:15,0.00415939207159012,0.00415445034006291,0.00416433348138258,6.84454092499636,6.75030025730817,< 00:01,28.95
2020 FU,3,2460385.394936803,2024-Mar-15 21:29,0.0380893802090608,0.0311813774865479,0.113378526284476,15.4865567999328,15.4820391046823,2_19:21,26.4
2024 EK4,4,2460385.524228534,2024-Mar-16 00:35,0.0268811099452129,0.0267947587967878,0.0269674555307052,4.33745786952839,4.31454505192605,00:04,27.73
2024 CJ8,7,2460385.559280644,2024-Mar-16 01:25,0.0441716012833641,0.0439941020215436,0.0443490993696804,12.0679326145933,12.062933117664,< 00:01,23.30
2024 FV1,2,2460385.590124227,2024-Mar-16 02:10,0.00519501745540561,0.00516246621257981,0.0052275666877942,14.3844817247961,14.3487815461615,< 00:01,27.62
2024 EQ,8,2460385.771255616,2024-Mar-16 06:31,0.0177447222997754,0.0176850937046135,0.0178043498416522,10.6879200602906,10.6738616675371,< 00:01,26.01
2024 FV,2,2460385.840912307,2024-Mar-16 08:11,0.0499556763790918,0.0496994385156362,0.0502119081968955,6.83516218978585,6.82735442348117,00:02,25.69
2024 EK,9,2460386.145137436,2024-Mar-16 15:29,0.017863831148707,0.0178192394041767,0.0179084217470955,7.61421340129839,7.59459911811968,< 00:01,26.77
2024 EX2,2,2460386.168583288,2024-Mar-16 16:03,0.0149507967052454,0.0149106557845745,0.01499093569464,6.15415364729146,6.12512644962482,< 00:01,26.37
2024 FD,5,2460386.412763621,2024-Mar-16 21:54,0.00527957772860427,0.00527333937143186,0.00528581594386731,10.2227619109469,10.1732741970161,< 00:01,27.09
2024 ER4,2,2460386.884452587,2024-Mar-17 09:14,0.00108218105859644,0.00108132907446065,0.00108303296653997,8.29989426397798,7.99774770585686,< 00:01,27.35
2024 FW1,2,2460387.473616172,2024-Mar-17 23:22,0.0102889527374204,0.0102736460307038,0.0103042584695778,4.99049845943862,4.93833420690153,< 00:01,28.32
2024 EP3,6,2460387.479417012,2024-Mar-17 23:30,0.0282883601154818,0.0281930065461414,0.0283837121752815,8.94500236763844,8.93446626548278,< 00:01,24.73
2024 FR4,1,2460387.642409400,2024-Mar-18 03:25,0.035252495822944,0.0350010320911161,0.0355039551980107,11.004843327253,10.9979730508746,00:08,25.86
2024 ED3,9,2460387.859183120,2024-Mar-18 08:37,0.00899483391492022,0.00899034014420689,0.00899932765798362,9.94786770452985,9.91804543633989,< 00:01,25.33
2024 EN3,8,2460388.035199224,2024-Mar-18 12:51,0.0143057659104191,0.0142770635720345,0.0143344671866134,6.35344045581837,6.32405735033922,< 00:01,26.83
2024 FS4,2,2460388.058257884,2024-Mar-18 13:24,0.0465942124300727,0.0462901166562107,0.0468983029734348,9.29147294417183,9.28531636141432,00:03,25.80
2024 EN,15,2460388.273611328,2024-Mar-18 18:34,0.00993837890671649,0.00993821660988386,0.00993854120353839,11.9748925547158,11.9524830770179,< 00:01,24.44
2020 FD,4,2460388.299096292,2024-Mar-18 19:11,0.0116151340851188,9.09059990259353e-05,0.0258168892715747,15.0839820748682,15.0687663999907,16:34,27.67
2024 BD7,16,2460388.759130631,2024-Mar-19 06:13,0.0481807558635315,0.04818041932939,0.0481810923977004,10.1409884662605,10.1355337109154,< 00:01,22.02
2024 FY1,14,2460389.054133434,2024-Mar-19 13:18,0.00524083201898903,0.0052334597438584,0.0052482041006572,10.3075673918194,10.2581250792981,< 00:01,26.36
2024 FO1,2,2460389.555085128,2024-Mar-20 01:19,0.0153523080474827,0.0153083290262592,0.0153962866694692,14.8083779780967,14.7966532399268,< 00:01,26.64
2024 EQ3,2,2460389.732581809,2024-Mar-20 05:35,0.0307993137886953,0.0304661989432402,0.0311324172738145,10.8202436839036,10.8122454367887,00:05,27.01
2024 EZ3,8,2460390.113945091,2024-Mar-20 14:44,0.029680313308461,0.0296102019483927,0.0297504229191876,5.84468483319853,5.82930489591415,< 00:01,25.80
2024 EY3,5,2460390.285382031,2024-Mar-20 18:51,0.0305932771068887,0.0304254269310031,0.0307611249064539,11.6181304842467,11.6106317099149,< 00:01,24.56
2024 FD1,2,2460390.333376457,2024-Mar-20 20:00,0.00732146943725843,0.00729625079536437,0.00734668309323042,5.083201791257,5.01109636136317,< 00:01,29.42
2024 FC4,4,2460390.643975776,2024-Mar-21 03:27,0.0128312266884853,0.0127346640843568,0.0129277848191289,10.8987152219395,10.8796452966347,00:08,25.09
2024 GS,2,2460390.723673508,2024-Mar-21 05:22,0.0304038869580062,0.0300578256586614,0.0307499319947118,9.35591010066001,9.34653847842769,00:04,26.64
